Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,infection,translation inhibitor,fraction,geo_loc_name,collection_date
SRR27450692,179591833,12930611976,72,4289,SRX23122410,GSM8005280,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075960,SAMN39287322,simple,9606,Homo sapiens,GSM8005280,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,45_OC43_6hpi_CHX_rep1,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450694,69276980,5552593353,80,1903,SRX23122411,GSM8005281,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075961,SAMN39287321,simple,9606,Homo sapiens,GSM8005281,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,46_OC43_12hpi_CHX_rep1,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450691,80531333,6410764860,79,2175,SRX23122412,GSM8005282,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075962,SAMN39287320,simple,9606,Homo sapiens,GSM8005282,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,47_OC43_18hpi_CHX_rep1,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450695,74950671,5962795982,79,2017,SRX23122413,GSM8005283,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075964,SAMN39287319,simple,9606,Homo sapiens,GSM8005283,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,48_OC43_24hpi_CHX_rep1,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450690,67886587,5489202392,80,1867,SRX23122414,GSM8005284,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075965,SAMN39287318,simple,9606,Homo sapiens,GSM8005284,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,49_OC43_30hpi_CHX_rep1,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450689,171001396,12312100512,72,4108,SRX23122415,GSM8005285,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075963,SAMN39287317,simple,9606,Homo sapiens,GSM8005285,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells,50_uninfected_CHX_rep2,human cells,MRC-5,wild type,NA,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450686,27771499,1999547928,72,679,SRX23122416,GSM8005286,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075967,SAMN39287316,simple,9606,Homo sapiens,GSM8005286,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells,51_uninfected_HAR_rep2,human cells,MRC-5,wild type,NA,"8 µg/mL harringtonine for 10 min, then 0.1 mg/mL cycloheximide in lysis buffer",ribosome protected fragments,missing,missing
SRR27450685,66096091,4758918552,72,1573,SRX23122417,GSM8005287,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075968,SAMN39287315,simple,9606,Homo sapiens,GSM8005287,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,52_OC43_3hpi_CHX_rep2,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450687,166838911,12012401592,72,3965,SRX23122418,GSM8005288,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075966,SAMN39287314,simple,9606,Homo sapiens,GSM8005288,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,53_OC43_6hpi_CHX_rep2,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450684,72669752,5232222144,72,1715,SRX23122419,GSM8005289,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075969,SAMN39287313,simple,9606,Homo sapiens,GSM8005289,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,54_OC43_6hpi_HAR_rep2,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,"8 µg/mL harringtonine for 10 min, then 0.1 mg/mL cycloheximide in lysis buffer",ribosome protected fragments,missing,missing
SRR27450688,119850167,9173124308,76,3084,SRX23122420,GSM8005290,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075970,SAMN39287312,simple,9606,Homo sapiens,GSM8005290,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,55_OC43_12hpi_CHX_rep2,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450683,117609079,9043349321,76,3056,SRX23122421,GSM8005291,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075973,SAMN39287311,simple,9606,Homo sapiens,GSM8005291,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,56_OC43_18hpi_CHX_rep2,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450682,104399160,8033521231,76,2718,SRX23122422,GSM8005292,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075972,SAMN39287310,simple,9606,Homo sapiens,GSM8005292,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,57_OC43_24hpi_CHX_rep2,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450679,95369056,7328017451,76,2470,SRX23122423,GSM8005293,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075974,SAMN39287309,simple,9606,Homo sapiens,GSM8005293,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,58_OC43_30hpi_CHX_rep2,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450678,99804580,7185929760,72,2412,SRX23122424,GSM8005294,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075971,SAMN39287308,simple,9606,Homo sapiens,GSM8005294,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells,59_uninfected_CHX_rep3,human cells,MRC-5,wild type,NA,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450680,54727142,3940354224,72,1292,SRX23122425,GSM8005295,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075975,SAMN39287307,simple,9606,Homo sapiens,GSM8005295,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,60_OC43_3hpi_CHX_rep3,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
