Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,time,cell type,strain,age,Sex,treatment,cell line,tissue,growth condition,GEO Accession
SRR1593032,53197501,2127900040,40,1285,SRX680709,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684388,SAMN02990405,simple,10090,Mus musculus,GSM1479603,GEO,SRA179319,07,2015,Eichhorn,primary liver tissue,miR-122 knockout mouse liver RNA,3T3 cell line,10 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479627
SRR1551171,20565669,1645253520,80,892,SRX680710,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684389,SAMN02990406,simple,10090,Mus musculus,GSM1479604,GEO,SRA179319,07,2015,Eichhorn,primary liver tissue,miR-122 knockout mouse liver RPF,3T3 cell line,12 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479628
SRR1551172,56498762,2259950480,40,1503,SRX680711,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684390,SAMN02990407,simple,10090,Mus musculus,GSM1479605,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-1-inducible contact-inhibited 3T3 0 h RNA,3T3 cell line,0 h,,,,,,3T3 cell line,,contact inhibited,GSM1479629
SRR1551173,55289727,2211589080,40,1440,SRX680712,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684391,SAMN02990408,simple,10090,Mus musculus,GSM1479606,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-1-inducible contact-inhibited 3T3 4 h RNA,3T3 cell line,4 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479630
SRR1551174,49555444,1982217760,40,1290,SRX680713,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684392,SAMN02990409,simple,10090,Mus musculus,GSM1479607,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-1-inducible contact-inhibited 3T3 8 h RNA,3T3 cell line,6 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479631
SRR1551175,52675108,2107004320,40,1386,SRX680714,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684393,SAMN02990410,simple,10090,Mus musculus,GSM1479608,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-1-inducible contact-inhibited 3T3 12 h RNA,3T3 cell line,8 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479632
SRR1551176,105895524,4235820960,40,2797,SRX680715,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684394,SAMN02990411,simple,10090,Mus musculus,GSM1479609,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-1-inducible contact-inhibited 3T3 48 h RNA,3T3 cell line,10 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479633
SRR1551177,44674979,1786999160,40,1174,SRX680716,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684395,SAMN02990412,simple,10090,Mus musculus,GSM1479610,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-1-inducible contact-inhibited 3T3 0 h RPF,3T3 cell line,12 h,,,,,doxycycline,3T3 cell line,,contact inhibited,GSM1479634
SRR1551178,52233819,2089352760,40,1371,SRX680717,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684396,SAMN02990413,simple,10090,Mus musculus,GSM1479611,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-1-inducible contact-inhibited 3T3 4 h RPF,3T3 cell line,0 h,,,,,,3T3 cell line,,actively dividing,GSM1479635
SRR1551179,59134059,2365362360,40,1586,SRX680718,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684397,SAMN02990414,simple,10090,Mus musculus,GSM1479612,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-1-inducible contact-inhibited 3T3 8 h RPF,3T3 cell line,12 h,,,,,doxycycline,3T3 cell line,,actively dividing,GSM1479636
SRR1551180,47638238,1905529520,40,1251,SRX680719,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684398,SAMN02990415,simple,10090,Mus musculus,GSM1479613,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-1-inducible contact-inhibited 3T3 12 h RPF,3T3 cell line,0 h,,,,,,3T3 cell line,,actively dividing,GSM1479637
SRR1551181,43114528,1724581120,40,1132,SRX680720,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684399,SAMN02990416,simple,10090,Mus musculus,GSM1479614,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-1-inducible contact-inhibited 3T3 48 h RPF,3T3 cell line,12 h,,,,,doxycycline,3T3 cell line,,actively dividing,GSM1479638
SRR1551182,46145604,1845824160,40,1254,SRX680721,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684400,SAMN02990417,simple,10090,Mus musculus,GSM1479615,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-155-inducible contact-inhibited 3T3 0 h RNA,3T3 cell line,0 h,,,,,Torin1,3T3 cell line,,contact inhibited,GSM1479639
SRR1551183,57116638,2284665520,40,1525,SRX680722,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684401,SAMN02990418,simple,10090,Mus musculus,GSM1479616,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-155-inducible contact-inhibited 3T3 4 h RNA,3T3 cell line,12 h,,,,,"doxycycline, Torin1",3T3 cell line,,contact inhibited,GSM1479640
SRR1551184,49704629,1988185160,40,1319,SRX680723,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684402,SAMN02990419,simple,10090,Mus musculus,GSM1479617,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-155-inducible contact-inhibited 3T3 8 h RNA,3T3 cell line,0 h,,,,,Torin1,3T3 cell line,,contact inhibited,GSM1479641
SRR1551185,68411372,2736454880,40,1652,SRX680724,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684403,SAMN02990420,simple,10090,Mus musculus,GSM1479618,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-155-inducible contact-inhibited 3T3 12 h RNA,3T3 cell line,12 h,,,,,"doxycycline, Torin1",3T3 cell line,,contact inhibited,GSM1479642
SRR1551186,41896177,1675847080,40,1143,SRX680725,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684404,SAMN02990421,simple,10090,Mus musculus,GSM1479619,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-155-inducible contact-inhibited 3T3 0 h RPF,3T3 cell line,0 h,,,,,,3T3 cell line,,actively dividing,GSM1479643
SRR1551187,42768712,1710748480,40,1169,SRX680726,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684405,SAMN02990422,simple,10090,Mus musculus,GSM1479620,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-155-inducible contact-inhibited 3T3 4 h RPF,3T3 cell line,12 h,,,,,doxycycline,3T3 cell line,,actively dividing,GSM1479644
SRR1551188,37381484,1495259360,40,1021,SRX680727,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684406,SAMN02990423,simple,10090,Mus musculus,GSM1479621,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-155-inducible contact-inhibited 3T3 8 h RPF,3T3 cell line,0 h,,,,,,3T3 cell line,,actively dividing,GSM1479645
SRR1551189,40627391,1625095640,40,1108,SRX680728,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684408,SAMN02990424,simple,10090,Mus musculus,GSM1479622,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-155-inducible contact-inhibited 3T3 12 h RPF,3T3 cell line,12 h,,,,,doxycycline,3T3 cell line,,actively dividing,GSM1479646
SRR1551190,23695144,947805760,40,609,SRX680729,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684407,SAMN02990425,simple,10090,Mus musculus,GSM1479623,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-124-inducible contact-inhibited 3T3 0 h RNA,3T3 cell line,0 h,,,,,Torin1,3T3 cell line,,contact inhibited,GSM1479647
SRR1551191,23752570,950102800,40,612,SRX680730,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684409,SAMN02990426,simple,10090,Mus musculus,GSM1479624,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-124-inducible contact-inhibited 3T3 4 h RNA,3T3 cell line,12 h,,,,,"doxycycline, Torin1",3T3 cell line,,contact inhibited,GSM1479648
SRR1551192,21901146,876045840,40,564,SRX680731,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684410,SAMN02990427,simple,10090,Mus musculus,GSM1479625,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-124-inducible contact-inhibited 3T3 6 h RNA,3T3 cell line,0 h,,,,,Torin1,3T3 cell line,,contact inhibited,GSM1479649
SRR1551193,23691010,947640400,40,613,SRX680732,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684411,SAMN02990428,simple,10090,Mus musculus,GSM1479626,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-124-inducible contact-inhibited 3T3 8 h RNA,3T3 cell line,12 h,,,,,"doxycycline, Torin1",3T3 cell line,,contact inhibited,GSM1479650
SRR1551194,22246841,889873640,40,576,SRX680733,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684412,SAMN02990429,simple,10090,Mus musculus,GSM1479627,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-124-inducible contact-inhibited 3T3 10 h RNA,primary B cell,,primary B cell,C57BL/6,3 months,male,,,,,GSM1479651
SRR1551195,20353445,814137800,40,522,SRX680734,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684413,SAMN02990430,simple,10090,Mus musculus,GSM1479628,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-124-inducible contact-inhibited 3T3 12 h RNA,primary Macrophage,,primary Macrophage,C57BL/6,3 months,male,,,,,GSM1479652
SRR1551196,23446415,937856600,40,606,SRX680735,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684414,SAMN02990376,simple,10090,Mus musculus,GSM1479629,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-124-inducible contact-inhibited 3T3 0 h RPF,primary Neutrophil,,primary Neutrophil,C57BL/6,3 months,male,,,,,GSM1479653
SRR1551197,22978335,919133400,40,595,SRX680736,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684415,SAMN02990377,simple,10090,Mus musculus,GSM1479630,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-124-inducible contact-inhibited 3T3 4 h RPF,primary B cell,2 h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479569
SRR1551198,22049693,881987720,40,571,SRX680737,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684416,SAMN02990378,simple,10090,Mus musculus,GSM1479631,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-124-inducible contact-inhibited 3T3 6 h RPF,primary B cell,4 h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479570
SRR1551199,21959137,878365480,40,563,SRX680738,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684417,SAMN02990379,simple,10090,Mus musculus,GSM1479632,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-124-inducible contact-inhibited 3T3 8 h RPF,primary B cell,8 h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479571
SRR1551200,23533963,941358520,40,607,SRX680739,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684418,SAMN02990380,simple,10090,Mus musculus,GSM1479633,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-124-inducible contact-inhibited 3T3 10 h RPF,primary B cell,48 h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479572
SRR1551201,21814034,872561360,40,563,SRX680740,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684419,SAMN02990381,simple,10090,Mus musculus,GSM1479634,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-124-inducible contact-inhibited 3T3 12 h RPF,primary B cell,2 h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479573
SRR1551202,36609766,1464390640,40,878,SRX680741,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684420,SAMN02990382,simple,10090,Mus musculus,GSM1479635,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-1-inducible actively dividing 3T3 0 h RNA,primary B cell,4 h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479574
SRR1551203,34107000,1364280000,40,820,SRX680742,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684421,SAMN02990383,simple,10090,Mus musculus,GSM1479636,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-1-inducible actively dividing 3T3 12 h RNA,primary B cell,8 h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479575
SRR1551204,33460833,1338433320,40,789,SRX680743,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684422,SAMN02990384,simple,10090,Mus musculus,GSM1479637,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-1-inducible actively dividing 3T3 0 h RPF,primary B cell,48 h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479576
SRR1551205,26789670,1071586800,40,638,SRX680744,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684423,SAMN02990385,simple,10090,Mus musculus,GSM1479638,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-1-inducible actively dividing 3T3 12 h RPF,primary B cell,2h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479577
SRR1551206,32985059,1319402360,40,768,SRX680745,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684424,SAMN02990386,simple,10090,Mus musculus,GSM1479639,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-1-inducible Torin-treated 3T3 0 h RNA,primary B cell,4h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479578
SRR1551207,33656931,1346277240,40,781,SRX680746,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684425,SAMN02990387,simple,10090,Mus musculus,GSM1479640,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-1-inducible Torin-treated 3T3 12 h RNA,primary B cell,8h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479579
SRR1551208,43219245,1728769800,40,1207,SRX680747,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684426,SAMN02990388,simple,10090,Mus musculus,GSM1479641,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-1-inducible Torin-treated 3T3 0 h RPF,primary B cell,48h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479580
SRR1551209,45516376,1820655040,40,1268,SRX680748,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684427,SAMN02990389,simple,10090,Mus musculus,GSM1479642,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-1-inducible Torin-treated 3T3 12 h RPF,primary B cell,2h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479581
SRR1551210,32894253,1315770120,40,779,SRX680749,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684428,SAMN02990390,simple,10090,Mus musculus,GSM1479643,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-155-inducible actively dividing 3T3 0 h RNA,primary B cell,4h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479582
SRR1551211,29088921,1163556840,40,688,SRX680750,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684429,SAMN02990391,simple,10090,Mus musculus,GSM1479644,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-155-inducible actively dividing 3T3 12 h RNA,primary B cell,8h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479583
SRR1551212,34022582,1360903280,40,821,SRX680751,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684430,SAMN02990392,simple,10090,Mus musculus,GSM1479645,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-155-inducible actively dividing 3T3 0 h RPF,primary B cell,48h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479584
SRR1551213,30467486,1218699440,40,733,SRX680752,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684431,SAMN02990393,simple,10090,Mus musculus,GSM1479646,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-155-inducible actively dividing 3T3 12 h RPF,U2OS cell line,,,,,,mock transfection,U2OS cell line,,,GSM1479585
SRR1551214,35030777,1401231080,40,825,SRX680753,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684432,SAMN02990394,simple,10090,Mus musculus,GSM1479647,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-155-inducible Torin-treated 3T3 0 h RNA,U2OS cell line,,,,,,mock transfection,U2OS cell line,,,GSM1479586
SRR1551215,38892226,1555689040,40,916,SRX680754,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684433,SAMN02990395,simple,10090,Mus musculus,GSM1479648,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-155-inducible Torin-treated 3T3 12 h RNA,U2OS cell line,,,,,,mock transfection,U2OS cell line,,,GSM1479587
SRR1551216,43091286,1723651440,40,1201,SRX680755,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684434,SAMN02990396,simple,10090,Mus musculus,GSM1479649,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-155-inducible Torin-treated 3T3 0 h RPF,U2OS cell line,,,,,,mock transfection,U2OS cell line,,,GSM1479588
SRR1551217,33135906,1325436240,40,925,SRX680756,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045501,PRJNA258219,25263593,"",SRS684435,SAMN02990397,simple,10090,Mus musculus,GSM1479650,GEO,SRA179319,07,2015,Eichhorn,3T3 cell line,miR-155-inducible Torin-treated 3T3 12 h RPF,U2OS cell line,,,,,,miR-1 transfection,U2OS cell line,,,GSM1479589
SRR1551218,20232544,728371584,36,495,SRX680757,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684436,SAMN02990398,simple,10090,Mus musculus,GSM1479651,GEO,SRA179319,07,2015,Eichhorn,primary B cell,Bcell smallRNA,U2OS cell line,,,,,,miR-1 transfection,U2OS cell line,,,GSM1479590
SRR1551219,2973797,107056692,36,80,SRX680758,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684437,SAMN02990399,simple,10090,Mus musculus,GSM1479652,GEO,SRA179319,07,2015,Eichhorn,primary Macrophage,Macrophage smallRNA,U2OS cell line,,,,,,miR-1 transfection,U2OS cell line,,,GSM1479591
SRR1551220,1381481,49733316,36,18,SRX680759,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684438,SAMN02990400,simple,10090,Mus musculus,GSM1479653,GEO,SRA179319,09,2014,Eichhorn,primary Neutrophil,Neutrophil smallRNA,U2OS cell line,,,,,,miR-1 transfection,U2OS cell line,,,GSM1479592
